"addon"
{
	//"DOTA_InventoryMenu_Sell"    "商店出售"
	"DOTA_InventoryMenu_LockCombine"    "锁定"
	"td_strategy_15_text1"  "五星：满培二小组（芙兰朵露），满培妹红，满培古明地觉，古明地恋，满培小伞，犬走桦，米斯蒂娅，满培帕秋莉，满培八云紫（可选）。<br/><br/>其他：四星十六夜，2个三量梅蒂欣。<br/><br/>十六夜刷新二小姐，恋恋给buff妹红。<br/><br/>装备：二小组4镰刀2莱瓦汀，妹红4太阳伞2月兔，觉4船浆，恋4人形，紫4月耀，一梅蒂欣4核棒。辉夜刷个加伤buff。"
	"td_strategy_15_title2"  "运营方法"
	"td_strategy_15_text2"  "秋二鼠大妖精。"
	"td_strategy_15_title3"  "卡组清单"
	"td_strategy_15_text3"  "SSR卡：2芙兰朵露，2八云紫，大妖精，古明地恋，2莱瓦汀，2博丽御币。<br/><br/>SR卡：辉夜，2帕秋莉，2腾原妹红，十六夜，风祝御币，4核棒，4镰刀，2月兔，4炸弹，博丽护身符。<br/><br/>R卡：3 纳兹林，2梅蒂欣，4露娜，犬走桦，米斯蒂娅，2多多良小伞，5秋静叶，2古明地觉，4太阳伞，4船浆，4月耀，4人形，4御币。"
	"td_strategy_15_title4"  "站位图"
	"td_strategy_15_text4"  "不能完全挂机，怕60波后辉夜（必炸、上白泽慧音（起手电一个）、文文（炸或电）。"

	"td_strategy_16_left_title"  "【阵容】"
	"td_strategy_16_main_title"  "大小姐队"
	"td_strategy_16_sub_title"  "最低7个五星的挂机流过Extra的阵容"
	"td_strategy_16_url"  ""
	"td_strategy_16_image"  "strategy/strategy_12_png"
	"td_strategy_16_title1"  "阵容构成"
	"td_strategy_16_text1"  "五星：满培大小姐（蕾米莉亚），大妖精（连大小姐），满培帕秋莉切水银，满培帕秋莉切湖葬，满培小恶魔，满培雷蒂，满培八云紫。<br/><br/>其他：四星十六夜刷新大小姐，四星觉醒露米娅（五星觉醒用秋换成四星），2个三量梅蒂欣，四星满培琪露诺。<br/><br/>装备：大小组4相机2玉，湖葬帕秋莉4核棒2玉，水银帕秋莉4破魔，露米娅4狗牙，紫4月耀，琪露诺4人形。"
	"td_strategy_16_title2"  "运营方法"
	"td_strategy_16_text2"  "秋二鼠大妖精加神琦刷能量。"
	"td_strategy_16_title3"  "卡组清单"
	"td_strategy_16_text3"  "SSR卡：2蕾米莉亚，2八云紫，大妖精，神琦，4相机。<br/><br/>SR卡：辉夜，3帕秋莉，十六夜，4破魔，4核棒，4狗牙，4炸弹，博丽护身符。<br/><br/>R卡：3 纳兹林，2梅蒂欣，3露娜，2蕾蒂，2小恶魔，2琪露诺，5秋静叶，露米娅，4玉，4船浆，4月耀，4人形，4御币。"
	"td_strategy_16_title4"  "站位图"
	"td_strategy_16_text4"  "60波后文文没事，辉夜打了几把没事，保险的话炸一下。"

	"td_strategy_17_left_title"  "【阵容】"
	"td_strategy_17_main_title"  "帕秋莉队"
	"td_strategy_17_sub_title"  "7个五星的挂机流过Extra的阵容"
	"td_strategy_17_url"  ""
	"td_strategy_17_image"  "strategy/strategy_13_png"
	"td_strategy_17_title1"  "阵容构成"
	"td_strategy_17_text1"  "五星：3个满培帕秋莉，大妖精，满培小恶魔，满培雷蒂，满培八云紫。<br/><br/>其他：2个三量梅蒂欣，四星满培琪露诺，一星满培上白泽慧音，四星觉醒露米娅（五星觉醒用秋换成四星）。<br/><br/>装备：能量最高的湖葬帕秋莉4相机2玉且大妖精连，次之湖葬帕秋莉4核棒2玉，水银帕秋莉4破魔2八卦，小恶魔4船浆2船沟，紫4月耀，琪露诺4人形。<br/><br/>辉夜给输出刷个加伤buff，给露米娅和上白泽慧音攻速buff。"
	"td_strategy_17_title2"  "运营方法"
	"td_strategy_17_text2"  "秋二鼠大妖精加神琦刷能量。"
	"td_strategy_17_title3"  "卡组清单"
	"td_strategy_17_text3"  "SSR卡：2八云紫，大妖精，神琦，4相机，2八卦。<br/><br/>SR卡：辉夜，4帕秋莉，2上白泽慧音，4破魔，4核棒，2船勾，4炸弹，博丽护身符。<br/><br/>R卡：3 纳兹林，2梅蒂欣，3露娜，2蕾蒂，2小恶魔，2琪露诺，5秋静叶，露米娅，4玉，4船浆，4月耀，4人形，4御币。"
	"td_strategy_17_title4"  "站位图"
	"td_strategy_17_text4"  "70波文文不漏，高波辉夜交炸防脸黑。"

	"td_strategy_18_left_title"  "【阵容】"
	"td_strategy_18_main_title"  "文文队"
	"td_strategy_18_sub_title"  "最低4个五星的挂机流过Extra的阵容"
	"td_strategy_18_url"  ""
	"td_strategy_18_image"  ""
	"td_strategy_18_title1"  "阵容构成"
	"td_strategy_18_text1"  "纯狐给1技能转纯粹伤害，文文（射命丸文）装备4伞2月兔，加攻击力buff（米斯蒂亚，上白泽慧音加攻、辉夜即可，还可加觉恋），输出极高，挂机过，阵容五星要求少，卡位足够。"
	"td_strategy_18_title2"  ""
	"td_strategy_18_text2"  ""
	"td_strategy_18_title3"  ""
	"td_strategy_18_text3"  ""
	"td_strategy_18_title4"  ""
	"td_strategy_18_text4"  ""

	"td_strategy_19_left_title"  "【阵容】"
	"td_strategy_19_main_title"  "八意永琳队"
	"td_strategy_19_sub_title"  "6个五星的挂机流过Extra的阵容"
	"td_strategy_19_url"  ""
	"td_strategy_19_image"  "strategy/strategy_15_png"
	"td_strategy_19_title1"  "阵容构成"
	"td_strategy_19_text1"  "五星：满培八意永琳，满培辉夜，桑尼，古明地恋，满培古明地觉，满培八云紫。<br/><br/>其他：2个三星梅蒂欣，一星满培上白泽慧音，3个一星满培犬走桦或者伊吹翠香。<br/><br/>装备：辉夜4相机2玉，八意永琳4船浆2船勾（神琦刷到两玉或两相机可换下爆击给觉），上白泽慧音4狗牙，紫4月耀，恋恋4人形，觉4船勾，最前面的梅蒂欣4核棒。<br/><br/>将辉夜摆好位置后，再刷辉夜科技，给辉夜和八意永琳刷个加伤buff，给上白泽慧音恋3犬走桦刷个攻速buff。恋恋给八意永琳加能量buff。"
	"td_strategy_19_title2"  "运营方法"
	"td_strategy_19_text2"  "秋二鼠转神琦刷能量，正常升级辉夜。"
	"td_strategy_19_title3"  "卡组清单"
	"td_strategy_19_text3"  "SSR卡：2八云紫，2八意永琳，神琦，古明地恋，4相机。<br/><br/>SR卡：2辉夜，2上白泽慧音，4狗牙，4核棒，4船勾，4炸弹，博丽护身符，风祝御币。<br/><br/>R卡：3 纳兹林，2梅蒂欣，桑尼，4犬走桦，3露娜，2古明地觉，5秋静叶，4玉，4船浆，4月耀，4人形，4御币。"
	"td_strategy_19_title4"  "站位图"
	"td_strategy_19_text4"  "全程挂机，70波文文也不漏。"

	"td_strategy_20_left_title"  "【阵容】"
	"td_strategy_20_main_title"  "辉夜队"
	"td_strategy_20_sub_title"  "7个五星的挂机流过Extra的阵容"
	"td_strategy_20_url"  ""
	"td_strategy_20_image"  "strategy/strategy_16_png"
	"td_strategy_20_title1"  "阵容构成"
	"td_strategy_20_text1"  "五星：2个满培辉夜，桑尼，古明地恋，满培古明地觉，满培八云紫，满培火焰猫磷。<br/><br/>其他：2个三星梅蒂欣，一星满培上白泽慧音，一星八云紫，一星满培帕秋莉。<br/><br/>装备：主辉夜4相机2玉，火焰猫磷2船勾2神枪，觉4船浆2船勾，月耀和人形给两个紫，最前面的梅蒂欣4核棒。<br/><br/>将辉夜摆好位置后，再刷辉夜科技，给辉夜和古明地觉、火焰猫磷刷个加伤buff。恋恋给辉夜加能量buff。帕秋莉切湖葬。另外两个紫只需一个5星，多个会火车会重合放。"
	"td_strategy_20_title2"  "运营方法"
	"td_strategy_20_text2"  "秋二鼠转神琦刷能量。"
	"td_strategy_20_title3"  "卡组清单"
	"td_strategy_20_text3"  "SSR卡：2八云紫，神琦，古明地恋，4相机，2神枪。<br/><br/>SR卡：3辉夜，2上白泽慧音，2火焰猫磷，2帕秋莉，4核棒，4船勾，4炸弹，博丽护身符。<br/><br/>R卡：5 纳兹林，2梅蒂欣，桑尼，5露娜，2古明地觉，5秋静叶，4玉，4船浆，4月耀，4人形，4御币。"
	"td_strategy_20_title4"  "站位图"
	"td_strategy_20_text4"  "全程挂机。"

}
